customer_state,total_orders,total_customers,total_product_revenue,total_freight,total_order_value,avg_order_value
SP,41375,39981,5202955.05,718723.07,5921678.12,143.12212978851963
RJ,12762,12303,1824092.67,305589.31,2129681.98,166.87682024761008
MG,11544,11178,1585308.03,270853.46,1856161.49,160.79014986139987
RS,5432,5249,750304.02,135522.74,885826.76,163.07561855670104
PR,4998,4840,683083.76,117851.68,800935.44,160.25118847539017
BA,3358,3257,511349.99,100156.68,611506.67,182.10442823108994
SC,3612,3513,520553.34,89660.26,610213.6,168.940642303433
DF,2125,2062,302603.94,50625.5,353229.44,166.2256188235294
GO,2007,1942,294591.95,53114.98,347706.93,173.24710014947684
ES,2025,1956,275037.31,49764.6,324801.91,160.3960049382716
PE,1648,1605,262788.03,59449.66,322237.69,195.53257888349515
CE,1327,1305,227254.71,48351.59,275606.3,207.6912584777694
PA,970,944,178947.81,38699.3,217647.11,224.37846391752578
MT,903,873,156453.53,29715.43,186168.96,206.16717607973422
MA,740,719,119648.22,31523.77,151171.99,204.28647297297297
PB,532,516,115268.08,25719.73,140987.81,265.01468045112784
MS,709,688,116812.64,19144.03,135956.67,191.7583497884344
PI,493,481,86914.08,21218.2,108132.28,219.33525354969575
RN,482,471,83034.98,18860.1,101895.08,211.40058091286306
AL,411,399,80314.81,15914.59,96229.4,234.13479318734792
SE,345,338,58920.85,14111.47,73032.32,211.68788405797102
TO,279,272,49621.74,11732.68,61354.42,219.90831541218637
RO,247,235,46140.64,11417.38,57558.02,233.0284210526316
AM,147,142,22356.84,5478.89,27835.73,189.3587074829932
AC,81,77,15982.95,3686.75,19669.7,242.8358024691358
AP,68,67,13474.3,2788.5,16262.8,239.15882352941176
RR,46,45,7829.43,2235.19,10064.62,218.79608695652175
